jun 23 20:47:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:48:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:49:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:50:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:51:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:52:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:53:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:54:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:55:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:56:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:57:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:58:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 20:59:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:00:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:01:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:02:39 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:03:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:04:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:05:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:06:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:07:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:08:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:09:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:10:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:11:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:12:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:13:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:14:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:15:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:16:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:17:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:18:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:19:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:20:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:21:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:22:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:23:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:24:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:25:04 AsusLaptop tlp[38444]: Error: TLP's power saving will not apply on boot because tlp.service is not enabled --> Invoke 'systemctl enable tlp.service' to ensure the full functionality of TLP.
jun 23 21:25:04 AsusLaptop tlp[38443]: Error: TLP's power saving will not apply on boot because tlp.service is not enabled --> Invoke 'systemctl enable tlp.service' to ensure the full functionality of TLP.
jun 23 21:25:04 AsusLaptop tlp[38518]: Error: TLP's power saving will not apply on boot because tlp.service is not enabled --> Invoke 'systemctl enable tlp.service' to ensure the full functionality of TLP.
